Name,Link,Birth Date,Height (meter),Weight (Kg),Nationalities,Total points,Per Game Point,Total Rebounds,Per Game Rebounds,Total Assists,Per Game Assists
Frank Sabo,https://en.wikipedia.org/wiki/Frank_Sabo,1922-04-10,1.85,86.0,American,,,,,,
Arvydas Sabonis,https://en.wikipedia.org/wiki/Arvydas_Sabonis,1964-12-19,2.21,132.0,Lithuanian,5629.0,12.0,3436.0,7.3,964.0,2.1
Domantas Sabonis,https://en.wikipedia.org/wiki/Domantas_Sabonis,1996-05-03,2.11,109.0,"Lithuanian,American",,,,,,
Leo Sack,https://en.wikipedia.org/wiki/Leo_Sack,,,,,,,,,,
Robert Sacre,https://en.wikipedia.org/wiki/Robert_Sacre,1989-06-06,2.13,122.0,"American,Canadian",,,,,,
Ed Sadowski,https://en.wikipedia.org/wiki/Ed_Sadowski_(basketball),1917-07-11,1.96,109.0,American,,,,,,
Ken Sailors,https://en.wikipedia.org/wiki/Ken_Sailors,1921-01-14,1.78,79.0,American,,,,,,
John Salley,https://en.wikipedia.org/wiki/John_Salley,1964-05-16,2.11,104.0,American,5228.0,7.0,3356.0,4.5,,
John Salmons,https://en.wikipedia.org/wiki/John_Salmons,1979-12-12,1.98,94.0,American,,,,,,
Al Salvadori,https://en.wikipedia.org/wiki/Al_Salvadori,1945-05-06,2.06,100.0,American,,,,,,
Kevin Salvadori,https://en.wikipedia.org/wiki/Kevin_Salvadori,1970-12-30,2.13,105.0,American,,,,,,
Soumaila Samake,https://en.wikipedia.org/wiki/Soumaila_Samake,1978-03-18,2.13,111.0,Malian,,,,,,
Cheikh Samb,https://en.wikipedia.org/wiki/Cheikh_Samb,1984-10-22,2.16,111.0,Senegalese,,,,,,
JaKarr Sampson,https://en.wikipedia.org/wiki/JaKarr_Sampson,1993-03-20,2.06,94.0,American,,,,,,
Jamal Sampson,https://en.wikipedia.org/wiki/Jamal_Sampson,1983-05-15,2.11,117.0,American,,,,,,
Ralph Sampson,https://en.wikipedia.org/wiki/Ralph_Sampson,1960-07-07,2.24,103.0,American,7039.0,15.4,4011.0,8.8,1038.0,2.3
Samardo Samuels,https://en.wikipedia.org/wiki/Samardo_Samuels,1989-01-09,2.06,118.0,Jamaican,,,,,,
Pepe Sanchez,https://en.wikipedia.org/wiki/Juan_Ignacio_S%C3%A1nchez,1977-05-08,1.93,88.0,"Argentine,Spanish",,,,,,
